jID,pID,revCents,timeHours,bType
555a1cb3fee2a02f1d42e418,54c19c762e08b70233a3eff2,19500,1,HourlyRate
554ac22afee2a02f1d40b3fa,5435a20251a18de5415ed380,30000,0,FixedBid
55641649e3a5da083b2e9077,52741ee4ce77a705684ec99d,25000,0,FixedBid
554025468928e5212ed2c160,521ce092ce77a704a4d53fe9,55000,0,FixedBid
54ff39d0f97d87546f414d78,538e39fe245c7d0edc2d758e,16000,0,FixedBid
551aef209516c92415486bf0,50b1e713ce77a70e9429347f,70000,10,HourlyRate
555f7cdffc87d0e077f64d35,53ee5fb17366e0ec3c7362d9,165000,0,FixedBid
54f23ff52de2cbc012280142,53a3cf50245c7d270c1caa2b,325000,0,FixedBid
552650ec8928e5212ece8992,54c94a49c5f46ecd0f19914d,35000,0,FixedBid
552650ec8928e5212ece8992,522f508fce77a72144de25b4,82500,3,HourlyRate
552650ec8928e5212ece8992,53ee5fb17366e0ec3c7362d9,22500,1,HourlyRate
552650ec8928e5212ece8992,529e609ece77a70bf4dd612e,25000,1,HourlyRate
552650ec8928e5212ece8992,52557e5bce77a7040c61dc0c,20000,0,FixedBid
5526c69e0234f7e6568bc0ae,5435a20251a18de5415ed380,180000,0,FixedBid
5526c69e0234f7e6568bc0ae,52979cf1ce77a706f8819fd5,85000,0,FixedBid
5526c69e0234f7e6568bc0ae,52bb0ed3245c7d0ea84b7660,150000,0,FixedBid
5526c9648928e5212ece9e8d,52d45d31245c7d1d0841c1f9,323000,0,FixedBid
5526c9648928e5212ece9e8d,54c94a49c5f46ecd0f19914d,323000,0,FixedBid
551e45a8d6657ae7070f8ca8,52d45d31245c7d1d0841c1f9,188000,0,FixedBid
551e45a8d6657ae7070f8ca8,52d4c884245c7d21c0d84f1e,96500,0,FixedBid
551e45a8d6657ae7070f8ca8,54c94a49c5f46ecd0f19914d,81500,0,FixedBid
5526f6eb0234f7e6568bcf3c,513e3c68ce77a73630aa1595,40000,0,FixedBid
5526f6eb0234f7e6568bcf3c,5435a20251a18de5415ed380,75000,0,FixedBid
5526f6eb0234f7e6568bcf3c,533a4e4b245c7d03fcf1cf1a,16500,1,HourlyRate
5526d6960234f7e6568bc648,5435a20251a18de5415ed380,350000,10,HourlyRate
5526d6960234f7e6568bc648,547fcefb460e0793086e1339,1500075,66.67,HourlyRate
55491ac68f99862a083163c5,5273246cce77a70568136f22,9000,1,HourlyRate
555a26928f99862a0833ef94,5002f6fece77a70b1cb0a822,13750,0.5,HourlyRate
555a26928f99862a0833ef94,528d906bce77a70e24d8c308,100000,4,HourlyRate
555a26928f99862a0833ef94,5548f2888f99862a083150bb,28000,1,HourlyRate
555a26928f99862a0833ef94,552c4ee18928e5212ecf3b73,37000,2,HourlyRate
5564dc1dfc87d0e077f6d2ce,50f850d1ce77a706dc2c897f,25000,0,FixedBid
5564dc1dfc87d0e077f6d2ce,5567125fe3a5da083b2f4b45,325,0.01,HourlyRate
556a0214fc87d0e077f7dc35,531a0a63245c7d19a896d02a,50000,0,FixedBid
556cc523fc87d0e077f828e5,5543db00fee2a02f1d3fc2cd,31000,1,HourlyRate
54d57c592e08b70233a746ec,524e2427ce77a70d00a2f776,250000,0,FixedBid
54d57c592e08b70233a746ec,546a3b5b3e3e776908254e2f,337500,0,FixedBid
54d57c592e08b70233a746ec,54c69f8cc5f46ecd0f193490,585000,0,FixedBid
54de3f4d4540f72617528632,54c19c762e08b70233a3eff2,20000,1,HourlyRate
54ee5c342de2cbc012276866,532b46d2245c7d0a8029d254,75000,0,FixedBid
54ee5c342de2cbc012276866,5421d58accebe76b7bed5050,75000,0,FixedBid
54f4d0fe82367ff007e90f72,52bb0ed3245c7d0ea84b7660,120000,0,FixedBid
54f4d0fe82367ff007e90f72,54c19c762e08b70233a3eff2,100000,0,FixedBid
54f6377368f8262816bb470d,5435a20251a18de5415ed380,50000,0,FixedBid
54f6377368f8262816bb470d,5421d58accebe76b7bed5050,50000,0,FixedBid
54f6377368f8262816bb470d,510197e3ce77a71638879c1f,42500,0,FixedBid
551452d69516c92415477b01,522f508fce77a72144de25b4,64500,0,FixedBid
54cea5882e08b70233a55311,522f508fce77a72144de25b4,27500,1,HourlyRate
54cea5882e08b70233a55311,5418afa1ccebe76b7bec0a50,27500,1,HourlyRate
54cf1e85c5f46ecd0f1a37e3,54c19c762e08b70233a3eff2,19500,1,HourlyRate
54cf1e85c5f46ecd0f1a37e3,501abbf8ce77a70cacc290e5,22500,0,FixedBid
54cf1e85c5f46ecd0f1a37e3,5435a20251a18de5415ed380,392500,0,FixedBid
54ce91cd2e08b70233a55187,52586982ce77a70394652ed4,164000,4,HourlyRate
54d26ac42e08b70233a6c937,54c19c762e08b70233a3eff2,35000,1,HourlyRate
54d26ac42e08b70233a6c937,547fcefb460e0793086e1339,128500,4,HourlyRate
54d26ac42e08b70233a6c937,51afdafbce77a705985df8c5,240000,0,FixedBid
54d26ac42e08b70233a6c937,5435a20251a18de5415ed380,215000,0,FixedBid
54d38e8d2e08b70233a6f50a,517ee91bce77a717a4e5800f,25000,1,HourlyRate
54d2be81c5f46ecd0f1baacf,50eb32c6ce77a72c7424cbad,150000,0,FixedBid
54d2be81c5f46ecd0f1baacf,5273246cce77a70568136f22,9000,1,HourlyRate
54d2be81c5f46ecd0f1baacf,5435a20251a18de5415ed380,180000,0,FixedBid
54d2be81c5f46ecd0f1baacf,53648db8245c7d2708e3c5d6,680000,0,FixedBid
54d53b472e08b70233a73ca6,5435a20251a18de5415ed380,50000,0,FixedBid
54d53b472e08b70233a73ca6,54c19c762e08b70233a3eff2,19500,0,FixedBid
54dbe1aa4540f72617521756,538e39fe245c7d0edc2d758e,45000,0,FixedBid
54dbe1aa4540f72617521756,5273246cce77a70568136f22,9000,1,HourlyRate
54dbe1aa4540f72617521756,54c19c762e08b70233a3eff2,50000,0,FixedBid
54dbe1aa4540f72617521756,5435a20251a18de5415ed380,75000,0,FixedBid
54dc16154540f72617522e7b,5435a20251a18de5415ed380,80000,0,FixedBid
54dc16154540f72617522e7b,52a2435fce77a70ca8b23880,200000,0,FixedBid
54dc16154540f72617522e7b,54b95ad7c5f46ecd0f17fd20,50000,0,FixedBid
54dc16154540f72617522e7b,513e3c68ce77a73630aa1595,20000,0,FixedBid
54dc16154540f72617522e7b,53ee5fb17366e0ec3c7362d9,40000,0,FixedBid
54dc16154540f72617522e7b,54c81b0bc5f46ecd0f196b97,80000,0,FixedBid
54e8f1a5b54b72b02f01217a,517ee91bce77a717a4e5800f,125000,5,HourlyRate
54e8f1a5b54b72b02f01217a,521ce092ce77a704a4d53fe9,20000,1,HourlyRate
54f66613018439c66807d546,4fea4394ce77a70b3cbad036,64500,0,FixedBid
54f66613018439c66807d546,522f508fce77a72144de25b4,64500,0,FixedBid
54ecc1622de2cbc01226ee02,53053fa7245c7d284068d46b,35000,1,HourlyRate
