Job ID,Num bids,Avg. Payment
55573a328f99862a0833b374,2, $10125.00
5526d6960234f7e6568bc648,2,  $9250.38
55368c060234f7e6568e36ca,6,  $6953.33
555254e1fee2a02f1d41c37f,2,  $6470.00
554bc6b98f99862a0831ecd9,3,  $6466.67
55244c029516c9241549fd2d,2,  $6375.00
553142618928e5212ed04985,7,  $5925.71
5534426f0234f7e6568dc571,5,  $5294.00
55528201fee2a02f1d41d17a,2,  $5250.00
5553cb068f99862a08332b78,4,  $5115.00
553ab0258928e5212ed1f051,1,  $5080.00
555a32328f99862a0833f3b3,4,  $4877.50
551a099cd6657ae7070e8e46,4,  $4777.50
550eef6c0b5713935b6af681,3,  $4558.33
5500d1d5f97d87546f41aa22,1,  $4550.00
5515981cd6657ae7070e0cb4,1,  $4500.00
54e3ef024540f72617530850,1,  $4500.00
54fdc916f97d87546f410b54,4,  $4300.00
555697668f99862a0833ae59,2,  $4290.00
55392f698928e5212ed1a477,2,  $4065.00
54ee3827b54b72b02f01f3e9,1,  $4050.00
5559bda58f99862a0833dc7e,5,  $3984.00
54d57c592e08b70233a746ec,3,  $3908.33
54ff76faf97d87546f416070,2,  $3900.00
5557bee98f99862a0833bc15,6,  $3867.50
555a3b478f99862a0833f6a9,4,  $3862.50
550306280bb19ae920a92eb0,1,  $3750.00
54f5f36068f8262816bb2502,3,  $3708.33
55131ad60b5713935b6bae92,3,  $3636.67
552f4df98928e5212ecfe545,5,  $3526.00
54dbe7cb1f52c78b548250f4,1,  $3500.00
54d90b4550dfb5e80702a8ee,1,  $3500.00
54cfc46a2e08b70233a564da,1,  $3500.00
55490bec8f99862a08315dc6,1,  $3500.00
555b90a9e3a5da083b2d4657,4,  $3306.25
54f23ff52de2cbc012280142,1,  $3250.00
5526c9648928e5212ece9e8d,2,  $3230.00
54fef0810bb19ae920a86dea,4,  $3175.00
555a46d5fee2a02f1d42f645,3,  $3173.33
54f64b2b018439c66807cd84,2,  $3100.00
554108140234f7e656901495,1,  $3070.00
5546ff6e8f99862a08310be3,2,  $3050.00
551d72899516c9241549077f,2,  $2975.00
5554f780fee2a02f1d4258c4,4,  $2956.25
555a35c18f99862a0833f4f4,6,  $2938.33
55550987fee2a02f1d425f43,1,  $2900.00
5552b3f38f99862a0832eca9,1,  $2850.00
5558e7bffee2a02f1d42c326,1,  $2800.00
55528000fee2a02f1d41d065,4,  $2725.00
5554c3778f99862a08334e57,7,  $2699.29
54f0fae42de2cbc01227e8fb,2,  $2630.00
55401e978928e5212ed2be6a,1,  $2603.00
55534d9dfee2a02f1d41f1d9,2,  $2597.50
54d2be81c5f46ecd0f1baacf,4,  $2547.50
551f0fe89516c92415496298,4,  $2459.75
54f5f2b268f8262816bb2478,2,  $2420.00
5554745efee2a02f1d423a55,3,  $2343.33
551024c7e14573073a625534,3,  $2314.17
5555760dfee2a02f1d427583,1,  $2300.00
55529d038f99862a0832e835,3,  $2249.00
552cd2980234f7e6568c7367,4,  $2225.00
555a4c1afee2a02f1d42f803,8,  $2187.50
5536ee818928e5212ed12b2d,2,  $2044.50
5554cc3e8f99862a08335138,6,  $2028.33
55518f56fee2a02f1d419730,1,  $2000.00
55073d7df97d87546f426e6e,1,  $1900.00
5552b4d18f99862a0832ecda,11,  $1852.18
5567bb80e3a5da083b2f844c,1,  $1815.00
555b8e55e3a5da083b2d3904,10,  $1805.50
5557be138f99862a0833bbc5,3,  $1791.67
554999608f99862a08318525,2,  $1750.00
55593b1c8f99862a0833d231,1,  $1750.00
55020ee3f97d87546f41e5a3,2,  $1750.00
555509498f99862a0833684c,2,  $1750.00
54ec9344b54b72b02f017acf,2,  $1750.00
550a10070bb19ae920aa2417,1,  $1750.00
5559f2b5fee2a02f1d42d94f,2,  $1750.00
55563828fee2a02f1d428ef5,2,  $1750.00
55518e658f99862a0832a1a2,1,  $1700.00
5553704afee2a02f1d41fa3e,3,  $1693.33
555f7cdffc87d0e077f64d35,1,  $1650.00
54ce91cd2e08b70233a55187,1,  $1640.00
55355e6a8928e5212ed0d034,2,  $1625.00
54ff8020f97d87546f416320,5,  $1609.20
5552d090fee2a02f1d41e988,5,  $1566.00
554bb6ae8f99862a0831e882,8,  $1561.63
54d26ac42e08b70233a6c937,4,  $1546.25
554f7de98f99862a08325b19,3,  $1525.00
553001598928e5212ed00523,5,  $1505.00
550c3c70149467271fddd6f4,1,  $1500.00
54ed134db54b72b02f01b242,4,  $1448.75
54cf1e85c5f46ecd0f1a37e3,3,  $1448.33
552ff8468928e5212ed0018f,1,  $1425.00
55331f810234f7e6568da970,5,  $1412.00
54eda51db54b72b02f01d1be,3,  $1406.67
5526c69e0234f7e6568bc0ae,3,  $1383.33
55510c6b8f99862a08328578,1,  $1375.00
5533e0758928e5212ed089d5,6,  $1352.17
5557b7e78f99862a0833bb22,2,  $1337.50
555a7129fee2a02f1d4304df,9,  $1326.11
55594e8afee2a02f1d42cd72,4,  $1321.25
554d17438f99862a0832302a,2,  $1299.50
5559f0768f99862a0833dfc7,2,  $1297.50
55230fac9516c9241549c9fa,8,  $1268.00
5510d1680b5713935b6b4435,5,  $1265.00
5558fbecfee2a02f1d42c5a0,1,  $1250.00
552ad62d8928e5212ecf0193,3,  $1238.33
54f4f2f868f8262816bafa14,2,  $1220.00
551e45a8d6657ae7070f8ca8,3,  $1220.00
554bbaea8f99862a0831e9a5,6,  $1214.83
5553dd78fee2a02f1d4226b7,4,  $1186.25
55219508d6657ae7070fd5f6,3,  $1183.33
554d0d598f99862a08322c0d,2,  $1175.00
555141f1fee2a02f1d418b6f,6,  $1167.50
555401f18f99862a083339b9,1,  $1140.00
555cb0e4fc87d0e077f5b5d1,1,  $1140.00
54dbb51a4540f7261752055b,11,  $1132.00
550c7d890b5713935b6acc96,1,  $1125.00
54f4d0fe82367ff007e90f72,2,  $1100.00
5542b2670234f7e656907e38,3,  $1091.67
550b10d3f97d87546f431b64,4,  $1086.25
5537d6a30234f7e6568e8df8,1,  $1075.00
554111e88928e5212ed2e4e0,2,  $1050.00
555b87b4fc87d0e077f54ba0,4,  $1044.25
55563d77fee2a02f1d429063,8,  $1033.13
553717598928e5212ed135c6,4,  $1030.00
555251f7fee2a02f1d41c26f,3,  $1028.33
55369e9b8928e5212ed10ff2,8,  $1015.50
554c0092fee2a02f1d40f294,3,  $1013.33
553976ef0234f7e6568ee9d8,8,  $1012.50
551b0030d6657ae7070ec36b,3,  $1008.33
556716d3fc87d0e077f763ae,1,  $1000.00
55021dda0bb19ae920a919b5,3,  $1000.00
5548ccb58f99862a083144f6,5,   $995.00
5548112afee2a02f1d402766,3,   $980.00
551aef209516c92415486bf0,5,   $980.00
55071a3cf97d87546f4264dc,5,   $975.00
555624c2fee2a02f1d4287b9,2,   $962.50
553918668928e5212ed19c98,1,   $955.00
554025468928e5212ed2c160,11,   $949.73
5558d633fee2a02f1d42c1e7,3,   $931.67
5535481b0234f7e6568df1f4,5,   $928.00
554a07ac8f99862a08318d1f,7,   $920.71
5525644fd6657ae707106f94,6,   $902.50
55580482fee2a02f1d42b8c1,1,   $900.00
5552b15c8f99862a0832ebe2,5,   $899.80
553d532b8928e5212ed22e19,8,   $896.88
5555fbd08f99862a0833863a,3,   $894.17
55596847fee2a02f1d42d219,11,   $886.82
55585dff8f99862a0833c301,2,   $875.00
55534eac8f99862a0832fc81,2,   $865.00
555398298f99862a083314ea,4,   $862.50
555a58438f99862a083402bc,1,   $855.00
553721a68928e5212ed137a1,6,   $854.17
552d62f60234f7e6568c8d7b,3,   $851.67
54f1b31f2de2cbc01227f745,5,   $845.00
55341b038928e5212ed090c0,2,   $835.00
55329a720234f7e6568d9f3c,7,   $832.14
553fd9ad0234f7e6568fd46a,6,   $825.00
